n,seconds
1,0.0001188510
2,0.0001941440
3,0.0002816210
4,0.0003609380
5,0.0004587130
6,0.0005248020
7,0.0006124610
8,0.0006802170
9,0.0007788420
10,0.0008469370
11,0.0009199910
12,0.0011984100
13,0.0010956030
14,0.0011848740
15,0.0012727520
16,0.0013692080
17,0.0014357370
18,0.0015370790
19,0.0016262800
20,0.0016915600
21,0.0017906060
22,0.0018657030
23,0.0020045470
24,0.0023728960
25,0.0022293980
26,0.0022104660
27,0.0023224250
28,0.0024021970
29,0.0024690620
30,0.0025732490
31,0.0026408050
32,0.0027506600
33,0.0028439990
34,0.0029110810
35,0.0029990250
36,0.0031424880
37,0.0031900640
38,0.0032790630
39,0.0033405350
40,0.0034205130
41,0.0035928750
42,0.0036268120
43,0.0036546090
44,0.0038179660
45,0.0038699010
46,0.0039839580
47,0.0040585130
48,0.0041419860
49,0.0042373190
50,0.0043314060
51,0.0043870570
52,0.0045022040
53,0.0049589770
54,0.0050009880
55,0.0051227690
56,0.0054360940
57,0.0051800470
58,0.0053665840
59,0.0054163950
60,0.0057321750
61,0.0055366130
62,0.0057075000
63,0.0061196770
64,0.0057214890
65,0.0057888880
66,0.0056756530
67,0.0057783150
68,0.0058710620
69,0.0060705070
70,0.0064261520
71,0.0065992910
72,0.0062024390
73,0.0063527960
74,0.0065218400
75,0.0064599290
76,0.0066260610
77,0.0066568960
78,0.0067083970
79,0.0068072040
80,0.0068565610
81,0.0070632510
82,0.0070751450
83,0.0071379690
84,0.0072105560
85,0.0073531220
86,0.0074662620
87,0.0131547450
88,0.0075767080
89,0.0077288560
90,0.0132846760
91,0.0078779700
92,0.0081750110
93,0.0085724600
94,0.0084293160
95,0.0082548880
96,0.0083305570
97,0.0086616310
98,0.0088674590
99,0.0089369090
100,0.0093084960
101,0.0109380040
102,0.0089070120
103,0.0088545710
104,0.0090040760
105,0.0090908330
106,0.0092421700
107,0.0093508290
108,0.0095705360
109,0.0095495830
110,0.0094748370
111,0.0096781530
112,0.0096669350
113,0.0178818870
114,0.0098785290
115,0.0099682420
116,0.0100000680
117,0.0101809160
118,0.0102234170
119,0.0102998620
120,0.0104285360
121,0.0105159400
122,0.0105425890
123,0.0106746220
124,0.0107072700
125,0.0108338660
126,0.0108836690
127,0.0110203350
128,0.0111223920
129,0.0111952220
130,0.0113445650
131,0.0113506670
132,0.0114475150
133,0.0115468710
134,0.0115853770
135,0.0119499480
136,0.0118794780
137,0.0119375100
138,0.0127814720
139,0.0127652750
140,0.0124278900
141,0.0122869100
142,0.0123100710
143,0.0124066430
144,0.0124521850
145,0.0124678680
146,0.0135394580
147,0.0136884630
148,0.0131269750
149,0.0130990020
150,0.0129565730
151,0.0130945310
152,0.0131601490
153,0.0132924210
154,0.0134184770
155,0.0137311750
156,0.0145401140
157,0.0141243800
158,0.0146827350
159,0.0145276560
160,0.0146276670
161,0.0142764290
162,0.0140009800
163,0.0141114850
164,0.0142230660
165,0.0142845900
166,0.0143493990
167,0.0144813630
168,0.0147759230
169,0.0146138410
170,0.0147537720
171,0.0147808530
172,0.0148942070
173,0.0148791210
174,0.0151747810
175,0.0151973100
176,0.0153451520
177,0.0154023920
178,0.0154383300
179,0.0155135590
180,0.0156139450
181,0.0157659760
182,0.0157364720
183,0.0158540040
184,0.0159026580
185,0.0286445410
186,0.0164596950
187,0.0203018340
188,0.0163033180
189,0.0163068730
190,0.0164609960
191,0.0165495010
192,0.0166106760
193,0.0166995290
194,0.0168144210
195,0.0168803940
196,0.0169338680
197,0.0171091700
198,0.0171477230
199,0.0172227050
200,0.0173360970
